dlc_id,name,dob,sex,taxon,litter_size,age,weight
6759,MARIUS,2000-02-18,M,PCOQ,1,3.19,712
6774,BRUTUS,2001-02-28,M,PCOQ,1,20.05,3480
6777,ZENOBIA,2001-03-11,F,PCOQ,1,2.89,487
6780,QUIETUS,2001-05-04,M,PCOQ,1,17.42,3350
6790,Leo,2001-12-26,M,PCOQ,1,4.34,1230
6797,Gratian,2002-04-14,M,PCOQ,1,6.08,1610
6802,Little Dipper,2002-05-26,F,VRUB,1,0.76,440
6804,Crispus Caesar,2003-01-07,M,PCOQ,1,4.37,1110
6806,Rufus,2003-02-12,M,PCOQ,1,2.24,294
6807,Theodosius,2003-03-03,M,PCOQ,1,2.53,537
6823,Maximus,2004-01-15,M,PCOQ,1,1.74,532
6825,Geta,2004-02-08,F,PCOQ,1,6.48,1640
6827,Marcus Aurelius,2004-02-16,M,PCOQ,1,7.86,2190
6828,Anastasia,2004-02-18,F,PCOQ,1,16.08,2400
6838,Carina,2004-05-11,F,VRUB,2,21.96,3740
6839,Cassiopea,2004-05-11,F,VRUB,2,0.72,330
6843,Lucius Verus,2005-01-07,M,PCOQ,1,0.79,179
6844,Maria,2005-01-17,F,PCOQ,1,0.69,143
6850,Honoria,2005-02-21,F,PCOQ,1,12.56,2490
6872,Helena,2006-02-13,F,PCOQ,1,2.76,482
6882,Charlemagne,2007-01-02,M,PCOQ,1,15.85,2860
6884,Irene,2007-01-27,F,PCOQ,1,16.11,3060
6885,Agrippina,2007-02-07,F,PCOQ,1,23.08,3320
6895,Scorpius,2007-07-02,M,VRUB,2,20.75,3520
6896,Aries,2007-07-02,M,VRUB,2,1.84,720
6900,Matilda,2007-12-21,F,PCOQ,1,1.15,216
6901,Gaius Galerus,2008-01-03,M,PCOQ,1,22.55,3395
6903,Martinianus,2008-01-25,M,PCOQ,1,2.2,538
6911,Avior,2008-05-24,M,VRUB,3,22.78,3180
6912,Hydra II,2008-05-24,F,VRUB,3,1.74,810
6913,Lyra,2008-05-24,F,VRUB,3,1.74,788
6920,Conrad,2008-12-31,M,PCOQ,1,19.07,3080
6922,Pompeia Plotina,2009-02-04,F,PCOQ,1,13.51,2975
6945,Esther,2009-04-29,F,VRUB,3,3.06,1260
6946,Phoebe,2009-04-29,F,VRUB,3,17.49,3620
6947,Orion JR,2009-04-29,M,VRUB,3,0.92,422
6959,Rupert,2009-12-15,M,PCOQ,1,17.49,2840
6961,Wilhelmina,2009-12-25,F,PCOQ,1,13.45,2895
6964,Romulus,2010-02-03,M,PCOQ,1,20.35,3515
6982,Adelaide,2011-01-08,F,PCOQ,1,3.75,860
6983,Arcadia,2011-01-16,F,PCOQ,1,6.51,1800
6987,Bertha of Sulzbach,2011-02-18,F,PCOQ,1,23.54,4180
6994,Cordelia,2011-05-10,F,VRUB,2,9.21,2540
6995,Pandora,2011-05-10,F,VRUB,2,12.2,2920
7073,Gisela,2012-01-07,F,PCOQ,1,23.64,3390
7075,Remus,2012-01-12,M,PCOQ,1,3.02,740
7077,Ernestine,2012-01-26,F,PCOQ,1,0.82,212
7093,Titan,2012-05-10,M,VRUB,4,5.29,2440
7094,Puck,2012-05-10,M,VRUB,4,1.55,680
7095,Carme II,2012-05-10,F,VRUB,4,8.84,2720
7131,Beatrice of Swabia,2012-12-19,F,PCOQ,1,23.47,3700
7133,Irene-A,2013-01-20,M,PCOQ,1,0.79,168
7136,Pontius Pilate,2013-02-04,M,PCOQ,1,11.54,2320
7137,Ferdinand,2013-02-17,M,PCOQ,1,2.01,415
7170,Gertrude,2014-01-05,F,PCOQ,1,7.5,1920
7171,Eleanor of Portugal,2014-01-05,F,PCOQ,1,8.35,2240
7174,Aemilia,2014-02-02,F,PCOQ,1,1.45,349
7199,Lupicina,2015-01-08,F,PCOQ,1,4.54,843
7200,Wenceslaus the Idle,2015-01-24,M,PCOQ,1,23.15,3880
7201,Isabella,2015-01-25,F,PCOQ,1,4.31,892
7202,Valeria,2015-01-28,F,PCOQ,1,13.87,2700
7211,Celeste,2015-05-13,F,VRUB,3,2.24,1040
7212,Arche,2015-05-13,M,VRUB,3,23.24,3880
7213,Stephano,2015-05-13,M,VRUB,3,3.16,1560
7215,Bode,2015-05-27,M,VRUB,1,14.47,3820
7228,Gemina,2015-12-28,F,PCOQ,1,5.13,741
7233,Calpurnia III,2016-01-17,F,PCOQ,1,16.41,2900
7234,Hostilian,2016-01-23,M,PCOQ,1,2.86,488
7235,Francesca,2016-02-14,F,PCOQ,1,17.1,2640
7250,Sally,2016-06-08,F,VRUB,2,2.79,1580
7251,Kalani,2016-06-08,M,VRUB,2,19.17,3365
7263,Gothicus,2017-01-06,M,PCOQ,1,2.3,350
7264,Furia,2017-01-10,F,PCOQ,1,17.52,2680
7275,Magdalena,2017-05-14,F,PCOQ,1,16.18,2820
7278,Buzz,2017-05-30,M,VRUB,1,1.12,617
7286,Eustace,2017-11-03,M,PCOQ,1,2.96,614
7288,Elagabalus,2017-12-23,M,PCOQ,1,0.56,131
7297,Mae,2018-05-14,F,VRUB,3,0.95,490
7298,Judith,2018-05-14,F,VRUB,3,4.73,2200
