region,market,week_ending,type,avg_selling_price,total_units_th
West,San Francisco,2022-08-14,Conventional,1.702363415,665.705
Midwest,St. Louis,2019-07-21,Conventional,1.55,197.964
South,Orlando,2018-03-18,Conventional,1.11,508.98
Midwest,Columbus,2021-10-17,Conventional,1.066318649,248.517
West,Seattle,2019-11-17,Conventional,1.29,611.12
West,San Francisco,2021-04-18,Organic,1.85254781,84.594
West,Los Angeles,2022-08-28,Organic,1.852328403,151.879
Northeast,Northern New England,2020-06-21,Conventional,1.27,680.934
Northeast,Buffalo/Rochester,2022-09-25,Conventional,1.149718855,184.826
Midwest,Wichita,2022-06-26,Conventional,1.265400647,108.47
Northeast,Syracuse,2018-11-04,Conventional,1.15,73.522
Midwest,Wichita,2022-07-10,Conventional,1.343064921,102.691
Midwest,Detroit,2023-05-21,Conventional,1.02750069,553.563
Northeast,Syracuse,2021-05-09,Organic,1.706165267,6.799
South,Baltimore/Washington,2017-05-07,Organic,2.13,21.754
South,Roanoke,2022-08-07,Organic,1.581366472,12.628
Northeast,Northern New England,2018-01-28,Conventional,1.44,441.977
Northeast,Northern New England,2021-02-21,Organic,1.631879751,18.093
Northeast,Pittsburgh,2018-07-08,Conventional,1.12,154.533
Northeast,Boston,2017-09-03,Conventional,1.81,457.862
South,Miami/Ft. Lauderdale,2020-06-07,Organic,1.26,17.335
West,Phoenix/Tucson,2024-12-15,Organic,1.369111149,49.963
South,Nashville,2017-04-02,Conventional,0.95,281.439
Midwest,St. Louis,2020-03-22,Conventional,1.17,266.434
Northeast,Hartford/Springfield,2020-06-21,Conventional,1.48,438.86
South,Atlanta,2021-05-30,Organic,1.455170476,42.339
South,Dallas/Ft. Worth,2018-02-18,Conventional,0.77,1421.971
South,Orlando,2021-01-17,Organic,1.018530037,37.615
West,West Tex/New Mexico,2023-02-05,Organic,1.203330825,26.422
West,West Tex/New Mexico,2022-08-21,Organic,1.412469054,22.022
Midwest,Columbus,2022-08-14,Conventional,1.311352226,229.444
South,Roanoke,2018-08-12,Organic,1.54,7.244
Midwest,Cincinnati/Dayton,2023-12-03,Conventional,1.105788145,293.78
West,San Francisco,2021-08-15,Organic,2.035400794,71.079
Northeast,Albany,2023-08-06,Organic,1.680626735,3.97
Midwest,Detroit,2023-11-05,Organic,1.627978999,19.08
Midwest,Chicago,2017-09-17,Conventional,1.79,184.435
West,Denver,2019-03-24,Organic,1.19,40.954
South,Houston,2021-07-11,Organic,1.563838162,24.738
Northeast,Philadelphia,2021-04-04,Organic,1.635907345,32.363
South,Louisville,2017-12-24,Conventional,1.18,80.025
South,New Orleans/Mobile,2019-11-17,Organic,1.47,2.077
West,Sacramento,2022-12-11,Organic,1.162750295,32.591
South,Louisville,2021-05-09,Conventional,0.997717699,155.139
South,Baltimore/Washington,2019-03-31,Organic,1.42,47.677
South,Orlando,2017-01-29,Conventional,1.24,364.049
South,Raleigh/Greensboro,2019-04-28,Organic,2.25,13.917
South,Richmond/Norfolk,2024-04-14,Conventional,1.06925,406.797
South,Atlanta,2022-08-07,Organic,1.650374681,41.813
South,Atlanta,2022-05-29,Organic,2.073099653,38.4
Northeast,Northern New England,2019-02-03,Organic,1.33,31.395
South,Baltimore/Washington,2017-07-09,Organic,2.26,18.666
South,Charlotte,2024-07-28,Conventional,1.197999571,436.888
Midwest,Chicago,2018-09-16,Organic,1.8,54.983
South,Jacksonville,2018-06-03,Conventional,1.09,273.961
Midwest,St. Louis,2023-09-10,Conventional,0.929572178,253.759
Midwest,Cincinnati/Dayton,2021-10-31,Organic,1.820189423,17.62
Midwest,Detroit,2024-01-14,Conventional,1.002640939,591.077
West,Seattle,2022-09-25,Organic,1.975098764,80.309
West,Sacramento,2022-08-14,Organic,2.069887916,18.657
South,Jacksonville,2024-11-03,Organic,1.624887188,14.149
West,West Tex/New Mexico,2021-08-29,Conventional,0.881108978,886.8
West,Seattle,2021-11-07,Organic,2.077774747,64.834
West,Las Vegas,2023-02-19,Conventional,0.967083698,411.284
West,Sacramento,2024-09-08,Organic,1.974399823,19.735
South,Tampa,2019-08-18,Organic,0.91,10.163
Northeast,Philadelphia,2022-10-16,Organic,1.656681102,29.817
Northeast,Hartford/Springfield,2022-10-02,Organic,1.471600969,28.026
South,Baltimore/Washington,2024-02-04,Conventional,1.054645335,1420.591
South,New Orleans/Mobile,2018-07-01,Conventional,0.95,376.911
Midwest,Detroit,2018-02-25,Organic,1.45,15.974
Northeast,Hartford/Springfield,2019-10-13,Conventional,1.36,354.888
Northeast,Buffalo/Rochester,2024-08-25,Organic,1.484628519,21.423
South,Raleigh/Greensboro,2019-01-20,Conventional,0.9,488.41
West,Portland,2020-08-02,Conventional,1,911.718
Northeast,Syracuse,2017-09-17,Conventional,1.76,304.682
Northeast,Northern New England,2019-01-07,Conventional,1.21,590.613
South,Miami/Ft. Lauderdale,2021-02-28,Organic,1.049756165,71.213
South,Roanoke,2023-12-24,Organic,1.455108659,12.421
South,Tampa,2020-07-12,Organic,1.16,10.942
South,Atlanta,2022-01-10,Conventional,1.123514911,866.686
Midwest,St. Louis,2018-09-16,Organic,1.81,9.009
South,Nashville,2024-11-03,Conventional,1.227570769,341.771
West,Spokane,2017-02-26,Organic,1.64,3.682
Northeast,Albany,2023-09-10,Organic,1.396269563,5.375
West,Portland,2021-03-07,Conventional,1.102188713,712.958
West,San Diego,2024-03-03,Conventional,1.16143,587.492
South,Raleigh/Greensboro,2017-09-03,Conventional,1.54,263.533
Midwest,Indianapolis,2018-01-01,Organic,1.45,9.438
West,Portland,2018-06-10,Conventional,1.05,706.448
Midwest,Wichita,2021-12-19,Conventional,0.996716646,81.821
South,Baltimore/Washington,2021-08-01,Conventional,1.156822642,1094.415
West,Portland,2018-08-12,Organic,1.69,44.941
South,Atlanta,2022-03-27,Organic,1.732557512,48.467
South,Tampa,2019-06-30,Organic,0.9,5.459
West,San Diego,2022-12-25,Conventional,1.208370656,498.918
South,Roanoke,2024-05-12,Organic,1.53747,20.156
South,Nashville,2018-07-22,Conventional,0.93,272.527
Midwest,Grand Rapids,2017-04-23,Organic,2.13,2.102
South,New Orleans/Mobile,2024-05-19,Organic,1.36489,17.66
South,New Orleans/Mobile,2022-12-11,Organic,1.248531007,4.97
Northeast,Boston,2023-06-11,Organic,1.504386392,40.561
South,New Orleans/Mobile,2019-08-11,Conventional,1.04,329.829
Midwest,Wichita,2022-07-31,Organic,1.498910525,6.213
Northeast,Harrisburg/Scranton,2018-01-14,Conventional,1.25,277.617
Midwest,Indianapolis,2018-05-13,Conventional,0.96,247.913
South,Charlotte,2022-01-10,Conventional,1.110561935,453.179
South,Jacksonville,2017-08-20,Organic,2.48,2.856
Northeast,New York,2019-08-11,Organic,2.24,69.524
West,Phoenix/Tucson,2020-04-05,Conventional,0.93,1365.531
South,Nashville,2022-04-10,Organic,1.864558995,25.642
West,West Tex/New Mexico,2021-11-07,Organic,1.1945521,38.896
Midwest,Columbus,2021-06-06,Organic,1.642039177,16.505
South,Houston,2023-05-21,Conventional,0.830284586,979.48
West,San Francisco,2023-05-21,Conventional,1.11873662,891.342
South,Houston,2023-02-26,Organic,0.937177725,30.611
Northeast,Pittsburgh,2017-09-03,Organic,1.5,8.524
South,Dallas/Ft. Worth,2022-07-03,Organic,1.7616844,49.354
West,San Francisco,2017-02-19,Conventional,1.17,863.689
South,New Orleans/Mobile,2023-07-23,Organic,1.359431857,12.507
West,Sacramento,2017-02-26,Conventional,1.08,499.262
West,Las Vegas,2023-03-05,Conventional,0.851640719,450.222
West,Boise,2018-06-24,Conventional,1.16,111.774
South,Atlanta,2021-11-21,Organic,1.665802014,38.712
South,Richmond/Norfolk,2021-04-25,Organic,1.164645499,39.604
West,Portland,2018-10-28,Conventional,1.03,640.323
South,Orlando,2022-04-17,Organic,1.261020574,102.506
South,Baltimore/Washington,2018-07-15,Organic,1.51,40.188
West,Spokane,2021-12-19,Conventional,1.324500693,65.798
West,Seattle,2019-01-07,Conventional,1.37,591.491
West,Spokane,2022-11-06,Organic,1.927918504,4.601
Midwest,Wichita,2021-10-17,Conventional,1.008167741,87.327
West,Sacramento,2018-08-19,Organic,1.81,11.005
Midwest,Cincinnati/Dayton,2019-01-20,Conventional,0.68,488.776
West,Sacramento,2020-04-26,Organic,1.9,16.436
Midwest,Cincinnati/Dayton,2023-09-10,Conventional,1.283219544,282.536
Northeast,Northern New England,2021-05-09,Conventional,0.985083553,726.526
South,Louisville,2023-12-31,Conventional,1.167514616,140.731
Midwest,Grand Rapids,2018-09-30,Conventional,1.41,160.728
West,Boise,2018-08-05,Conventional,1.28,93.289
West,Las Vegas,2024-12-22,Conventional,1.264873624,347.275
Northeast,Syracuse,2019-11-17,Organic,1.2,3.759
South,New Orleans/Mobile,2023-08-27,Organic,1.42049989,13.595
South,Charlotte,2022-10-23,Conventional,1.149265245,361.619
Midwest,St. Louis,2019-12-08,Conventional,1.07,162.223
Midwest,Columbus,2017-03-05,Conventional,1.14,166.17
Northeast,Albany,2020-07-05,Conventional,1.41,159.71
South,New Orleans/Mobile,2020-01-06,Organic,1.35,3.135
West,Portland,2021-04-04,Organic,2.026553853,52.635
South,Houston,2018-06-17,Organic,1.39,44.902
Midwest,Indianapolis,2017-04-09,Organic,1.06,7.729
South,Raleigh/Greensboro,2020-08-23,Organic,1.55,24.43
Midwest,Indianapolis,2022-08-14,Organic,1.736956504,9.815
South,Richmond/Norfolk,2020-03-01,Organic,1.49,14.21
South,Raleigh/Greensboro,2019-09-01,Conventional,1.28,385.793
Midwest,Detroit,2020-04-26,Organic,1.61,26.275
Northeast,Northern New England,2022-03-06,Conventional,1.377134727,458.59
West,Las Vegas,2020-07-26,Organic,1.39,18.979
South,Houston,2019-08-18,Conventional,1.08,1158.294
South,Tampa,2018-03-04,Organic,1.51,9.852
South,Jacksonville,2017-06-18,Organic,2.23,4.178
West,Seattle,2018-08-12,Conventional,1.48,577.865
Northeast,Syracuse,2017-06-11,Conventional,1.66,58.543
Northeast,New York,2018-07-01,Organic,1.94,79.751
Midwest,Columbus,2023-02-26,Conventional,0.933669158,271.433
South,Dallas/Ft. Worth,2017-07-16,Conventional,0.98,1219.893
South,Jacksonville,2019-04-21,Organic,1.47,0.638
West,Phoenix/Tucson,2019-11-17,Organic,1.97,14.412
Northeast,Pittsburgh,2018-09-23,Organic,1.48,13.103
Midwest,Cincinnati/Dayton,2020-07-12,Organic,1.59,23.452
Northeast,Buffalo/Rochester,2024-05-12,Organic,1.32065,28.806
Midwest,Grand Rapids,2019-06-30,Organic,1.7,7.853
West,Los Angeles,2021-05-30,Organic,1.651656057,189.652
South,Louisville,2019-12-22,Conventional,1.08,90.054
South,Orlando,2023-01-15,Conventional,0.86808127,753.948
West,Phoenix/Tucson,2018-11-25,Organic,1.57,23.599
West,Denver,2023-03-19,Organic,1.145662125,50.15
West,San Diego,2024-08-11,Organic,1.993367782,27.872
Midwest,Cincinnati/Dayton,2019-11-24,Organic,0.93,24.715
South,Tampa,2017-08-06,Conventional,1.46,312.639
Midwest,Columbus,2020-10-18,Conventional,0.93,234.436
South,Roanoke,2024-12-15,Organic,1.651191049,16.531
Midwest,Grand Rapids,2021-10-10,Organic,0.936465389,21.973
Northeast,Hartford/Springfield,2020-08-02,Organic,2.03,12.834
South,Raleigh/Greensboro,2024-05-26,Organic,1.37125182,54.154
Northeast,Syracuse,2022-10-02,Organic,1.659983148,4.08
Midwest,Detroit,2021-12-26,Organic,1.364095534,28.187
West,Phoenix/Tucson,2023-01-22,Conventional,0.831097229,1331.536
Northeast,Northern New England,2018-05-27,Organic,1.55,28.225
West,Boise,2023-10-22,Conventional,1.244536144,100.937
West,Las Vegas,2020-06-21,Conventional,0.97,411.324
Midwest,Grand Rapids,2024-02-25,Organic,1.114266088,10.433
Northeast,Northern New England,2020-05-10,Conventional,1.09,1012.472
West,Seattle,2017-07-16,Conventional,1.68,473.362
Midwest,Chicago,2020-01-12,Conventional,1.36,667.265
South,Houston,2018-11-25,Organic,1.53,20.218
West,Seattle,2017-12-10,Organic,1.07,144.863
Northeast,Harrisburg/Scranton,2024-11-17,Conventional,1.1225475600000001,451.232
South,Miami/Ft. Lauderdale,2017-06-18,Organic,1.88,6.481
South,Miami/Ft. Lauderdale,2023-04-16,Conventional,0.993460052,1439.835
South,Tampa,2018-09-09,Organic,1.33,16.617
South,Richmond/Norfolk,2019-05-12,Organic,1.33,18.804
Northeast,Northern New England,2021-11-07,Organic,1.989116741,13.629
West,Las Vegas,2020-08-09,Conventional,0.94,481.316
Northeast,Harrisburg/Scranton,2017-07-30,Organic,1.59,14.097
South,Atlanta,2021-07-18,Organic,1.445293539,41.85
Midwest,Cincinnati/Dayton,2022-04-03,Conventional,1.171586297,362.831
Midwest,Columbus,2021-11-28,Organic,1.767954764,9.863
West,San Diego,2019-02-17,Organic,1.79,18.278
Midwest,Wichita,2021-12-26,Organic,1.463085282,5.217
Midwest,Wichita,2024-06-02,Organic,1.445959373,18.613
Northeast,Syracuse,2023-10-01,Conventional,1.050731334,81.197
South,Roanoke,2022-01-16,Organic,1.290546158,16.594
Midwest,Grand Rapids,2019-01-13,Conventional,1.53,162.141
South,Baltimore/Washington,2024-07-07,Conventional,1.320791068,1172.934
South,Roanoke,2017-06-04,Conventional,1.23,151.098
West,San Diego,2023-01-09,Conventional,1.148418269,564.935
South,Tampa,2018-06-24,Organic,1.27,8.441
South,New Orleans/Mobile,2018-09-16,Conventional,1.11,300.155
South,Tampa,2024-08-18,Organic,1.762039346,23.085
South,Miami/Ft. Lauderdale,2024-06-09,Organic,1.336605273,92.514
West,Seattle,2022-12-11,Conventional,1.320176364,489.861
West,Boise,2019-02-03,Organic,1.65,3.33
West,Seattle,2021-10-24,Organic,2.220212179,51.323
Northeast,Albany,2022-11-20,Organic,1.84031635,3.356
South,South Carolina,2024-01-28,Conventional,0.944811878,674.147
South,Baltimore/Washington,2024-10-27,Conventional,1.200753596,1174.184
South,Nashville,2019-07-14,Organic,2.15,12.798
South,Baltimore/Washington,2024-09-08,Organic,1.482260499,112.138
South,Jacksonville,2023-07-16,Organic,1.641674892,13.429
